track.name,artist.name,grammy.year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,grammy.win
Southern Nights,Glen Campbell,1978,0.697,0.813,11,-8.89,0,0.0315,0.0989,0.0232,0.583,0.85,95.301,audio_features,7kv7zBjMtVf0eIJle2VZxn,spotify:track:7kv7zBjMtVf0eIJle2VZxn,https://api.spotify.com/v1/tracks/7kv7zBjMtVf0eIJle2VZxn,https://api.spotify.com/v1/audio-analysis/7kv7zBjMtVf0eIJle2VZxn,180027,4,0
Hotel California - 2013 Remaster,Eagles,1978,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,audio_features,40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv,391376,4,0
Nobody Does It Better,Various Artists,1978,0.368,0.403,10,-12.699,1,0.0288,0.703,7.66E-06,0.202,0.338,135.384,audio_features,49RUdNvwSiUTC8fBh4KKoC,spotify:track:49RUdNvwSiUTC8fBh4KKoC,https://api.spotify.com/v1/tracks/49RUdNvwSiUTC8fBh4KKoC,https://api.spotify.com/v1/audio-analysis/49RUdNvwSiUTC8fBh4KKoC,212667,4,0
Don't It Make My Brown Eyes Blue,Crystal Gayle,1978,0.736,0.321,6,-13.474,1,0.0444,0.799,0.00897,0.0619,0.342,84.928,audio_features,7Jpclr7tZ6aQXjoKzWXUJV,spotify:track:7Jpclr7tZ6aQXjoKzWXUJV,https://api.spotify.com/v1/tracks/7Jpclr7tZ6aQXjoKzWXUJV,https://api.spotify.com/v1/audio-analysis/7Jpclr7tZ6aQXjoKzWXUJV,157653,4,0
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Various Artists,1979,0.699,0.607,10,-15.293,0,0.0353,0.103,0.000629,0.236,0.958,103.612,audio_features,2xSXw1EqGSAKc1e4TPaQvV,spotify:track:2xSXw1EqGSAKc1e4TPaQvV,https://api.spotify.com/v1/tracks/2xSXw1EqGSAKc1e4TPaQvV,https://api.spotify.com/v1/audio-analysis/2xSXw1EqGSAKc1e4TPaQvV,284067,4,0
Three Times A Lady,Commodores,1979,0.39,0.0803,8,-20.518,1,0.0306,0.874,0.000639,0.127,0.184,150.503,audio_features,4ztwMHfPZhPoruZdBbgriM,spotify:track:4ztwMHfPZhPoruZdBbgriM,https://api.spotify.com/v1/tracks/4ztwMHfPZhPoruZdBbgriM,https://api.spotify.com/v1/audio-analysis/4ztwMHfPZhPoruZdBbgriM,217427,3,0
You Don't Bring Me Flowers - Solo Version,Neil Diamond,1979,0.272,0.0448,0,-22.925,1,0.0386,0.78,0,0.0785,0.125,52.597,audio_features,21SY13oC0xxEtJMBPrkAM3,spotify:track:21SY13oC0xxEtJMBPrkAM3,https://api.spotify.com/v1/tracks/21SY13oC0xxEtJMBPrkAM3,https://api.spotify.com/v1/audio-analysis/21SY13oC0xxEtJMBPrkAM3,188867,4,0
You Needed Me,Anne Murray,1979,0.497,0.296,9,-10.756,1,0.0302,0.431,0,0.106,0.171,62.204,audio_features,5d4E1hgkLyb7sXr5J3InnM,spotify:track:5d4E1hgkLyb7sXr5J3InnM,https://api.spotify.com/v1/tracks/5d4E1hgkLyb7sXr5J3InnM,https://api.spotify.com/v1/audio-analysis/5d4E1hgkLyb7sXr5J3InnM,220267,4,0
Honesty,Billy Joel,1980,0.552,0.265,10,-15.482,1,0.0332,0.415,0,0.107,0.212,135.476,audio_features,34E0Higz6fFVXlbVsn6TIW,spotify:track:34E0Higz6fFVXlbVsn6TIW,https://api.spotify.com/v1/tracks/34E0Higz6fFVXlbVsn6TIW,https://api.spotify.com/v1/audio-analysis/34E0Higz6fFVXlbVsn6TIW,233507,4,0
After the Love Has Gone,"Earth, Wind & Fire",1980,0.424,0.443,6,-13.45,1,0.0382,0.532,0.000389,0.673,0.391,131.675,audio_features,3cfnGXJ9bmiWvFqEO6ff8B,spotify:track:3cfnGXJ9bmiWvFqEO6ff8B,https://api.spotify.com/v1/tracks/3cfnGXJ9bmiWvFqEO6ff8B,https://api.spotify.com/v1/audio-analysis/3cfnGXJ9bmiWvFqEO6ff8B,278040,4,0
I Will Survive,Gloria Gaynor,1980,0.77,0.775,9,-9.571,0,0.0495,0.0227,0.00262,0.297,0.802,116.935,audio_features,6g0cpYD7gmMHKrqYhPZ6Qq,spotify:track:6g0cpYD7gmMHKrqYhPZ6Qq,https://api.spotify.com/v1/tracks/6g0cpYD7gmMHKrqYhPZ6Qq,https://api.spotify.com/v1/audio-analysis/6g0cpYD7gmMHKrqYhPZ6Qq,296107,4,0
Reunited,Peaches & Herb,1980,0.561,0.501,5,-9.544,0,0.0266,0.857,0.0106,0.135,0.339,75.68,audio_features,7wbPfd2mXbStoZZSnHNd2V,spotify:track:7wbPfd2mXbStoZZSnHNd2V,https://api.spotify.com/v1/tracks/7wbPfd2mXbStoZZSnHNd2V,https://api.spotify.com/v1/audio-analysis/7wbPfd2mXbStoZZSnHNd2V,345240,4,0
Minute by Minute,The Doobie Brothers,1980,0.735,0.276,0,-18.071,1,0.044,0.549,0.000201,0.1,0.966,142.979,audio_features,37oLDb3119IdKSIFQmSGRj,spotify:track:37oLDb3119IdKSIFQmSGRj,https://api.spotify.com/v1/tracks/37oLDb3119IdKSIFQmSGRj,https://api.spotify.com/v1/audio-analysis/37oLDb3119IdKSIFQmSGRj,206973,3,0
Chuck E's in Love,Rickie Lee Jones,1980,0.782,0.41,9,-9.317,1,0.0851,0.308,0,0.146,0.716,113.203,audio_features,3tE7phKa4Wm9YUdwuacLt2,spotify:track:3tE7phKa4Wm9YUdwuacLt2,https://api.spotify.com/v1/tracks/3tE7phKa4Wm9YUdwuacLt2,https://api.spotify.com/v1/audio-analysis/3tE7phKa4Wm9YUdwuacLt2,209280,4,0
She Believes In Me,Kenny Rogers,1980,0.32,0.413,10,-12.472,1,0.0314,0.484,4.97E-06,0.346,0.313,142.765,audio_features,5ggOAMsJCAYDHnyoqJ0xAD,spotify:track:5ggOAMsJCAYDHnyoqJ0xAD,https://api.spotify.com/v1/tracks/5ggOAMsJCAYDHnyoqJ0xAD,https://api.spotify.com/v1/audio-analysis/5ggOAMsJCAYDHnyoqJ0xAD,258720,4,0
The Rose,Bette Midler,1981,0.347,0.228,0,-9.667,1,0.0296,0.901,0,0.38,0.184,133.574,audio_features,562JrM9b7jiu8LgzV62x3o,spotify:track:562JrM9b7jiu8LgzV62x3o,https://api.spotify.com/v1/tracks/562JrM9b7jiu8LgzV62x3o,https://api.spotify.com/v1/audio-analysis/562JrM9b7jiu8LgzV62x3o,221373,4,0
Woman in Love,Barbra Streisand,1981,0.469,0.278,3,-16.311,0,0.028,0.248,0.000126,0.133,0.331,169.735,audio_features,1pTGc8pwyo6xtgXBKCBcFn,spotify:track:1pTGc8pwyo6xtgXBKCBcFn,https://api.spotify.com/v1/tracks/1pTGc8pwyo6xtgXBKCBcFn,https://api.spotify.com/v1/audio-analysis/1pTGc8pwyo6xtgXBKCBcFn,231840,4,0
"Theme From New York, New York",Frank Sinatra,1981,0.408,0.414,2,-11.083,1,0.0297,0.282,0,0.153,0.576,107.469,audio_features,3QksrtI9VFCBHWA4rgvcV8,spotify:track:3QksrtI9VFCBHWA4rgvcV8,https://api.spotify.com/v1/tracks/3QksrtI9VFCBHWA4rgvcV8,https://api.spotify.com/v1/audio-analysis/3QksrtI9VFCBHWA4rgvcV8,206067,4,0
Lady,Kenny Rogers,1981,0.487,0.232,2,-12.486,0,0.0291,0.747,7.20E-06,0.115,0.249,140.173,audio_features,5lllSpYR5kRirQk8g2rIwa,spotify:track:5lllSpYR5kRirQk8g2rIwa,https://api.spotify.com/v1/tracks/5lllSpYR5kRirQk8g2rIwa,https://api.spotify.com/v1/audio-analysis/5lllSpYR5kRirQk8g2rIwa,231040,4,0
Fame,Various Artists,1981,0.7,0.73,0,-8.763,0,0.0311,0.132,0,0.133,0.961,130.519,audio_features,5CI1FP2Volc9wjz2MBZsGx,spotify:track:5CI1FP2Volc9wjz2MBZsGx,https://api.spotify.com/v1/tracks/5CI1FP2Volc9wjz2MBZsGx,https://api.spotify.com/v1/audio-analysis/5CI1FP2Volc9wjz2MBZsGx,316067,4,0
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",1982,0.802,0.488,1,-9.304,1,0.0813,0.572,0.0598,0.0763,0.624,95.77,audio_features,1ko2lVN0vKGUl9zrU0qSlT,spotify:track:1ko2lVN0vKGUl9zrU0qSlT,https://api.spotify.com/v1/tracks/1ko2lVN0vKGUl9zrU0qSlT,https://api.spotify.com/v1/audio-analysis/1ko2lVN0vKGUl9zrU0qSlT,237106,4,0
9 to 5,Dolly Parton,1982,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54E-06,0.631,0.813,105.39,audio_features,4w3tQBXhn5345eUXDGBWZG,spotify:track:4w3tQBXhn5345eUXDGBWZG,https://api.spotify.com/v1/tracks/4w3tQBXhn5345eUXDGBWZG,https://api.spotify.com/v1/audio-analysis/4w3tQBXhn5345eUXDGBWZG,162467,4,0
Endless Love,Various Artists,1982,0.479,0.293,10,-11.562,1,0.0249,0.597,0.00208,0.144,0.175,93.645,audio_features,4lxURgzko5Jizais6YqF3p,spotify:track:4lxURgzko5Jizais6YqF3p,https://api.spotify.com/v1/tracks/4lxURgzko5Jizais6YqF3p,https://api.spotify.com/v1/audio-analysis/4lxURgzko5Jizais6YqF3p,266360,4,0
